PPD N AGE BRTHYR SEX
76 20047 6 64 0
64 20821 6 64 1
36 8769 6 65 0
19 9105 6 65 1
1 1087 6 66 0
3 1076 6 66 1
143 51379 7 63 0
185 54581 7 63 1
144 46561 7 64 0
164 49765 7 64 1
7 1307 7 65 0
4 1500 7 65 1
71 18865 8 62 0
77 22114 8 62 1
68 18593 8 63 0
89 21944 8 63 1
6 794 8 64 0
6 1040 8 64 1
37 3169 9 61 0
27 4151 9 61 1
53 12105 9 62 0
64 12161 9 62 1
25 9247 9 63 0
35 9018 9 63 1
11 1898 9 64 0
5 1741 9 64 1
120 17432 10 60 0
111 17136 10 60 1
92 23213 10 61 0
100 22886 10 61 1
167 38877 10 62 0
127 37415 10 62 1
82 15891 10 63 0
64 15070 10 63 1
254 41666 11 59 0
289 41345 11 59 1
238 44968 11 60 0
250 45519 11 60 1
220 44028 11 61 0
239 45256 11 61 1
110 20407 11 62 0
102 20046 11 62 1
252 20898 12 54 0
237 19818 12 54 1
270 23967 12 55 0
303 22297 12 55 1
255 23884 12 56 0
248 23013 12 56 1
209 23322 12 57 0
202 21755 12 57 1
317 44464 12 58 0
336 46736 12 58 1
157 23843 12 59 0
188 27326 12 59 1
112 16348 12 60 0
128 18951 12 60 1
45 7925 12 61 0
71 9024 12 61 1
777 59357 13 53 0
861 55573 13 53 1
773 58154 13 54 0
867 56705 13 54 1
682 57816 13 55 0
751 55662 13 55 1
594 55538 13 56 0
620 54467 13 56 1
361 42950 13 57 0
420 46373 13 57 1
56 5198 13 58 0
72 7272 13 58 1
43 2596 13 59 0
47 3691 13 59 1
24 1026 13 60 0
19 1522 13 60 1
1290 72109 14 52 0
1468 76069 14 52 1
1078 70005 14 53 0
1357 74578 14 53 1
1016 68243 14 54 0
1185 72714 14 54 1
851 65500 14 55 0
1046 69774 14 55 1
416 39630 14 56 0
520 45297 14 56 1
1131 57683 15 52 0
1660 72524 15 52 1
992 56704 15 53 0
1379 69647 15 53 1
879 54636 15 54 0
1316 68945 15 54 1
369 29762 15 55 0
499 38757 15 55 1
877 38992 16 52 0
1369 56824 16 52 1
744 37433 16 53 0
1211 55572 16 53 1
301 18499 16 54 0
555 30665 16 54 1
938 25435 17 49 0
1527 40962 17 49 1
553 22242 17 52 0
1014 39479 17 52 1
186 10184 17 53 0
421 20287 17 53 1
586 13961 18 48 0
1135 26289 18 48 1
442 11940 18 49 0
995 24878 18 49 1
108 4504 18 52 0
326 12212 18 52 1
